file_a_name,file_b_name,class_a_name,class_b_name,file_a_path,file_b_path,is_equal
10404221.tif,50537424-7425.tif,scientific_publication,resume,scientific_publication/10404221.tif,resume/50537424-7425.tif,0
0060088545.tif,513284191_513284198.tif,invoice,invoice,invoice/0060088545.tif,invoice/513284191_513284198.tif,1
89388876_8884.tif,1001762551_1001762553.tif,scientific_report,scientific_report,scientific_report/89388876_8884.tif,scientific_report/1001762551_1001762553.tif,1
2062097819.tif,50609871-9872.tif,file_folder,resume,file_folder/2062097819.tif,resume/50609871-9872.tif,0
2023175415.tif,2505158253_8254.tif,news_article,scientific_report,news_article/2023175415.tif,scientific_report/2505158253_8254.tif,0
502474062.tif,91891403.tif,advertisement,budget,advertisement/502474062.tif,budget/91891403.tif,0
1002976777.tif,10138997_10139002.tif,scientific_publication,scientific_publication,scientific_publication/1002976777.tif,scientific_publication/10138997_10139002.tif,1
60016326.tif,0012944021.tif,file_folder,file_folder,file_folder/60016326.tif,file_folder/0012944021.tif,1
2057672002.tif,2053578962_2053578967.tif,specification,specification,specification/2057672002.tif,specification/2053578962_2053578967.tif,1
0030048550.tif,2026194551.tif,advertisement,advertisement,advertisement/0030048550.tif,advertisement/2026194551.tif,1
2023390605.tif,tob07809.03.tif,budget,budget,budget/2023390605.tif,budget/tob07809.03.tif,1
10180421_10180435.tif,98008828.tif,scientific_publication,news_article,scientific_publication/10180421_10180435.tif,news_article/98008828.tif,0
10068284.tif,2057825826_5837.tif,scientific_publication,scientific_publication,scientific_publication/10068284.tif,scientific_publication/2057825826_5837.tif,1
81885471_5472.tif,2069740489.tif,presentation,specification,presentation/81885471_5472.tif,specification/2069740489.tif,0
50607024-7025.tif,2056302979.tif,resume,scientific_report,resume/50607024-7025.tif,scientific_report/2056302979.tif,0
507307863_507307875.tif,50213239-3239.tif,questionnaire,memo,questionnaire/507307863_507307875.tif,memo/50213239-3239.tif,0
70114183-4183.tif,1003538174.tif,news_article,news_article,news_article/70114183-4183.tif,news_article/1003538174.tif,1
95993478.tif,2062414382_2062414401.tif,presentation,presentation,presentation/95993478.tif,presentation/2062414382_2062414401.tif,1
1001514967.tif,2023711702_2023711704.tif,questionnaire,resume,questionnaire/1001514967.tif,resume/2023711702_2023711704.tif,0
502216530+-6530.tif,2057219131.tif,advertisement,news_article,advertisement/502216530+-6530.tif,news_article/2057219131.tif,0
0000453621.tif,2057672002.tif,presentation,specification,presentation/0000453621.tif,specification/2057672002.tif,0
60038475_60038491.tif,60001274_60001276.tif,scientific_publication,scientific_publication,scientific_publication/60038475_60038491.tif,scientific_publication/60001274_60001276.tif,1
2074169047_9048.tif,tob11428.13.tif,presentation,news_article,presentation/2074169047_9048.tif,news_article/tob11428.13.tif,0
2016003211.tif,2070691640.tif,news_article,news_article,news_article/2016003211.tif,news_article/2070691640.tif,1
2072957747.tif,87147985.tif,invoice,invoice,invoice/2072957747.tif,invoice/87147985.tif,1
85865123.tif,2021391345_2021391346.tif,news_article,news_article,news_article/85865123.tif,news_article/2021391345_2021391346.tif,1
50460353-0354.tif,50364359-4360.tif,resume,resume,resume/50460353-0354.tif,resume/50364359-4360.tif,1
40024612-4613.tif,50565140-5141.tif,resume,resume,resume/40024612-4613.tif,resume/50565140-5141.tif,1
2031315185.tif,2057435954_2057435956.tif,specification,specification,specification/2031315185.tif,specification/2057435954_2057435956.tif,1
92076138.tif,2505825121_5136.tif,memo,scientific_report,memo/92076138.tif,scientific_report/2505825121_5136.tif,0
514306031+-6031.tif,2073581925.tif,advertisement,news_article,advertisement/514306031+-6031.tif,news_article/2073581925.tif,0
11243867.tif,2045300699_2045300714.tif,invoice,memo,invoice/11243867.tif,memo/2045300699_2045300714.tif,0
505869944.tif,2031295066.tif,specification,specification,specification/505869944.tif,specification/2031295066.tif,1
89388876_8884.tif,2063122298.tif,scientific_report,scientific_report,scientific_report/89388876_8884.tif,scientific_report/2063122298.tif,1
50431514-1514.tif,50597092-7093.tif,resume,resume,resume/50431514-1514.tif,resume/50597092-7093.tif,1
88132057.tif,2063846883.tif,invoice,file_folder,invoice/88132057.tif,file_folder/2063846883.tif,0
50615769-5770.tif,24012435.tif,resume,budget,resume/50615769-5770.tif,budget/24012435.tif,0
CTRCONTRACTS022505-2.tif,85628866.tif,invoice,news_article,invoice/CTRCONTRACTS022505-2.tif,news_article/85628866.tif,0
2028695957.tif,0071008430.tif,invoice,memo,invoice/2028695957.tif,memo/0071008430.tif,0
514306031+-6031.tif,2073326100.tif,advertisement,file_folder,advertisement/514306031+-6031.tif,file_folder/2073326100.tif,0
89388876_8884.tif,2040947740.tif,scientific_report,scientific_report,scientific_report/89388876_8884.tif,scientific_report/2040947740.tif,1
11299947-9949.tif,10393366.tif,resume,resume,resume/11299947-9949.tif,resume/10393366.tif,1
0071007430.tif,80234299_80234302.tif,presentation,invoice,presentation/0071007430.tif,invoice/80234299_80234302.tif,0
1000827638.tif,0060035364.tif,memo,memo,memo/1000827638.tif,memo/0060035364.tif,1
0001490971.tif,1005100713.tif,presentation,news_article,presentation/0001490971.tif,news_article/1005100713.tif,0
89227803_7804.tif,2060064062.tif,presentation,file_folder,presentation/89227803_7804.tif,file_folder/2060064062.tif,0
0060174322.tif,50595966-5966.tif,file_folder,file_folder,file_folder/0060174322.tif,file_folder/50595966-5966.tif,1
1000131077_1000131079.tif,2040475688.tif,invoice,memo,invoice/1000131077_1000131079.tif,memo/2040475688.tif,0
1003196301.tif,50500969-0971.tif,invoice,resume,invoice/1003196301.tif,resume/50500969-0971.tif,0
